ID;_frage;_antwort_1;_antwort_2;_antwort_3;_antwort_4;_loesung;_kategorie
7199;Vicky Leandros sang in einem ihrer Hits "Ja, ja, der ... , der ist schlau"?;Peter;Rainer;Günter;Theo;1;Schlager
1929;Das chirurgische Abtrennen eines endständigen Körperteils nennt man... ?;Hypotrichose;Transplantation;Amputation;Metabolismus;3;Medizin
5641;In welcher Stadt ist Oscar Wilde verstorben?;Berlin;Lyon;London;Paris;4;Leute
16534;Wer belegte in der 5. Staffel von "DSDS" den 5. Platz?;Rania Zeriri;Sahra Drone;Monika Ivkic;Stella Salato;1;Pop
757;940 - 23 x 2 = ?;900;890;895;894;4;Mathematik
11600;Welche Band stammt aus Knittlingen bei Pforzheim?;Flippers;Truck Stop;Gebrüder Blattschuss;Cindy & Bert;1;Schlager
22104;Wie oft stand die Fußball-Nationalmannschaft von Polen bisher in einem EM-Finale?;3 Mal;5 Mal;1 Mal;Nie;4;Fußball
23316;Wo entspringt die Werra?;im Erzgebirge;im Taunus;im Thüringer Schiefergebirge;im Fichtelgebirge;3;Geographie
4074;In der Kult-Komödie "Kuck mal, werd da spricht!" leiht Action-Star Bruce Willis Mollies Kind seine Stimme. Wie heißt es?;Johnny;Jimmy;Mikey;Danny;3;Film
19600;Wie heißt der (lt. Hitparadenplatzierungen) größte Hit von "2 Unlimited"?;No Limit;Tribal Dance;Get Ready For This;No One;1;Pop
2049;Das Musical "Anatevka" kennt jeder, aber was war Anatevka?;ein Fluss ind der Ukraine;die Frau vom Milchmann Tevje;ein Stadtteil von Moskau;ein ukrainischens Dörfchen;4;Mehr Musik
21595;Wie lautet der Spitzname von Italiens Kicker Sebastian Giovinco?;Atom-Ameise;Raketen-Biene;Explosions-Käfer;Blitz-Moskito;1;Fußball
18558;Wer war der dritte Ehemann von Elizabeth Taylor?;Michael Wilding;Richard Burton;Michael Todd;John Warner;3;Stars
13192;Welchem Hubschrauber gleicht der "Piasecki H-21"?;Westland Wasp;Sikorsky S-56;Sikorsky HH-53 C;CH-47 Chinook;4;Luft- & Raumfahrt
2524;Der Trainer welches Vereins sagte: "Wir wollen Meister werden, wir wissen nur noch nicht in welchem Jahrhundert."?;Arminia Bielefeld;TSG 1899 Hoffenheim;1 FC Köln;Greuther Fürth;1;Fußball
11482;Welche "Nuss" gibt es nicht?;Paranuss;Cashewnuss;Pekannuss;Malbennuss;4;Ernährung
18040;Wer spielt die Tatort-Kommissarin Eva Saalfeld?;Eva Mattes;Katharina Böhm;Ulrike Kriener;Simone Thomalla;4;TV
2016;Das Karwendelgebirge gehört zu Österreich und...?;Deutschland;Italien;Tschechien;Schweiz;1;Geographie
5918;Jean Giraud entwickelte die Kostüme für den Film Alien. Wie lautet der Spitzname dieses Zeichners?;Moebius;HR Giger;Algor;Korn;1;Stars
5329;In welcher deutschen Stadt findet man den Baldeney See?;Schwerin;Freiburg;Chemnitz;Essen;4;Erdkunde
17869;Wer schrieb die Filmmusik zum Film: "Besser gehtâ€™s nicht"?;Mychael Danna;Jean-Michel Defaye;Thomas Newman;Hans Zimmer;4;Filmmusik
2417;Der Leichtathlet und Olympiasieger Martin Lauer wollte als Schlagersänger mit dem...?;Automobil nach Kiel;Fahrrad nach Paris;Taxi nach Texas;Schlauchboot nach Amerika;3;Schlager
4782;In welchem Land befindet sich der Salto Ãngel, der höchste Wasserfall der Erde?;Argentinien;Venezuela;Peru;Bolivien;2;Reisen
10371;Was ist nicht typisch für die Schlafstörung "Parasomnie"?;starkes Durstgefühl;Alpträume;Schlafwandeln;nächtliches Aufschrecken;1;Medizin
18971;Wer wurde im Lorraine Motel in Memphis ermordet?;Robert Kennedy;John F Kennedy;Martin Luther King;Sharon Tate;3;Geschichte
16589;Wer eine "Gingivitis" hat, leidet unter...?;Rippenfellentzündung;Bauchspeicheldrüsenentzündung;Lungenentzündung;Zahnfleischentzündung;4;Medizin
7791;Wann fand die Teilung des römischen Reiches in Ost und West statt?;395;275;415;535;1;Geschichte
4709;In welchem Jahr wurde Hitler Reichskanzler?;1936;1933;1927;1923;2;Rheinland-Pfalz
14565;Welcher Name kommt aus dem Friesischen und ist die Kurzform von Adelheid?;Linda;Anke;Elke;Heike;3;Sprache
13674;Welcher Beruf war früher auch für das Zähneziehen zuständig?;Friseur;Metzger;Bäcker;Küfer;1;Geschichte
11929;Welche dieser Opern ist nicht von Giuseppe Verdi?;Parsifal;Aida;Nabucco;La Traviata;1;Klassik
3176;Dr. Mittendrein-Zwetschger ist aus Sketchen mit wem bekannt?;Dieter Hallervorden;Dieter Hildebrand;Diether Krebs;Loriot;3;Mehr Entertainment
8804;Was bedeutet der lateinische Name Cölestina?;die Himmlische;die Strahlende;die Bußfertige;die Hochmütige;1;Sprache
207;PGP ist ein sehr bekanntes Verschlüsselungsprogramm.Wofür steht PGP?;Pretty Good Prevention;Pretty Good Permission;Pretty Good Privacy;Pretty Good Persistence;3;Digital
14076;Welcher Eishockey-Spieler wurde deutscher Bundestrainer?;Marco Sturm;Uwe Krupp;Erich Weide;Christian Ehrhoff;2;Wintersport
1115;Auf welche dieser Mannschaften traf die deutsche Fußball-Nationalmannschaft während der Qualifikation zur EM 2012?;Färöer;Aserbaidschan;Rumänien;Armenien;2;Fußball
4585;In welchem Jahr kam Stacy "Fergie" Ferguson in die Band: "The Black Eyed Peas"?;1989;2005;2003;1999;3;Black & Hip Hop
13681;Welcher berühmte Satz ist vom Philosophen Seneca überliefert?;Non scholae, sed vitae discimus;Vitae et scholae discimus;Non vitae, sed scholae discimus;Non scholae, non vitae discimus;3;Allgemein
19572;Wie heißt das Sprichwort? Rom ist auch nicht an einem Tag...;zerstört worden;erkundet worden;erbaut worden;erforscht worden;3;Sprichwörter
2266;Der einz. US-Präsident, d. nie durch v. Volk best. Wahlmänner gewählt o. bestätigt wurde, war ...?;Jimmy Carter;Ronald W Reagan;Gerald Ford;Lyndon B Johnson;3;Mehr Wissen
17873;Wer schrieb die Filmmusik zum Film: "Es war einmal in Amerikaâ€œ?;Walter Jurmann;John Barry;Ennio Morricone;Michael Kamen;3;Filmmusik
1220;Auf welcher Insel befindet sich der Kilauea, der größte aktive Vulkan der Erde?;Kamtschatka;Hawaii;Fidji;Cook-Islands;2;Geographie
23418;Wo findet man "Bügelschlösser"?;an Lastkraftwagen;an Kinderrollern;an Fahrrädern;auf Segelbooten;3;Technik
17741;Wer schrieb 1523 das Gedicht "Die Wittenbergisch Nachtigall"?;Wolfram von Eschenbach;Hans Sachs;Christian Morgenstern;Novalis;2;Literatur
3888;Giovanni Trapattoni ist bekannt für seine verbalen Patzer. Sein bekanntester Ausspruch ist: "Ich habe..."?;genug;Schluss;Feierabend;fertig;4;Fußball
22078;Wie oft kann ein US-Präsident maximal wiedergewählt werden?;zweimal;einmal;gar nicht;unbegrenzt;2;Politik
9706;Was ist die GOLF EUROPE?;Europa-Meisterschaft der Golfer;1 Rang in der europäischen Golfliste;Ein Intern Golfturnier;Internationale Fachmesse für den Golfsport;4;Mehr Allgemeines
10206;Was ist eine Sykomore?;Feigenbaum;Dattelpalme;Olivenbaum;Oleanderstrauch;1;Pflanzen
3330;Ein Heißgetränk aus starkem Kaffee, Zucker, Rum und einer Sahnehaube ist ein...?;Pharisäer;Halligtee;Friesenkaffee;Aufsetzer;1;Ernährung
13537;Welchen Wert hat der Baumschmuck des 2010 in einem Luxushotel in Abu Dhabi aufgestellten Weihnachtsbaumes?;1 Million Dollar;20,5 Millionen Dollar;11,5 Millionen Dollar;52,3 Millionen Dollar;3;Gesellschaft
8183;Wann wurde das erste Mal der Begriff Internet verwendet?;1980;1974;1978;1976;2;Technik
1862;Colombo ist die Hauptstadt von welchem Staat?;Sri Lanka;Thailand;Indien;Vietnam;1;Geographie
6604;Olaf Malolepski singt jetzt alleine Schlager. Er gehörte vorher zu ...?;den Flippers;der Gruppe Wind;den Klostertalern;der Gruppe Pur;1;Schlager
3809;Garmisch-Partenkirchen liegt im Bundesland...?;Hessen;Bayern;Rheinland-Pfalz;Saarland;2;Geographie
24632;Wohin exportieren die Entwicklungsländer hauptsächlich?;in Nationalstaaten;in Volksstaaten;in Industriestaaten;in alle Staaten;3;Wirtschaft
22038;Wie nennt man Internet-Anwendungen & Seiten, d. von Nutzern gelesen und geändert werden können?;Blogosphäre;Homepage;Weblog;Wiki;4;Technik
4591;In welchem Jahr präsentierte sich der Sicherheitsgurt zum ersten Mal auf der IAA?;1954;1921;1892;1961;4;Auto & Verkehr
15064;Welcher Wal taucht am tiefsten?;Pottwal;Blauwal;Grauwal;Walhai;1;Tiere
23986;Wo startete die Titanic ihre Jungfernfahrt?;London;Rochester;Southampton;Liverpool;3;Geschichte
13390;Welchen Job hat der Best Boy bei amerikanischen Filmproduktionen?;Er verfeinert die visuellen Effekte in der Nachbearbeitung der Streifens.;Er doubled risikoreiche Aktionen des Stars.;Er berät das Set über den Einsatz der richtigen Schusswaffen.;Als ausgebildeter Elektriker assistiert er bei kniffligen Technik-Fragen.;4;Unterhaltung
24629;Woher stammt vermutlich die Redewendung "kalte Füße bekommen"?;vom illegalen Glücksspiel;vom Bergsteigen;von blinden Passagieren auf Frachtschiffen;vom Kohlenmangel im ersten Weltkrieg;1;Sprache
4689;In welchem Jahr wurde die Internationale Funkausstellung dauerhaft in Berlin platziert?;1924;1980;1971;1950;3;Digital
9227;Was gehört nicht zu den Aufgaben des ehemaligen Soldaten im Märchen "Das blaue Licht"?;Lebensmittel einkaufen gehen;Garten umgraben;das blaue Licht aus dem leeren Brunnen holen;ein Fuder Holz spalten;1;Literatur
12297;Welche historische Figur inspirierte Bram Stoker zur Erschaffung des "Grafen Dracula"?;Lucrezia Borgia;Vlad III;Gräfin Bathory;Nero;2;Mehr Allgemeines
11572;Welche Aussage über Rote Zwerge trifft zu?;erzeugen keine Wasserstofffusion;haben eine höherere Temperatur als die Sonne;sind die größten aktiven Sterne;sind die kleinsten aktiven Sterne;4;Astronomie
17619;Wer sang 1971 vom "Silvermoon-Baby"?;Chris Roberts;Howard Carpendale;Randolph Rose;Bernd Clüver;3;Schlager
24904;Zu was können sich die Mitglieder des Deutschen Bundestages (MdB) zusammenschliessen?;Gangs;Vereine;Fraktionen;Gemeinschaften;3;Politik
10068;Was ist ein Synonym für "kryptisch"?;geheimnisvoll;bedeutungsvoll;erwartungsvoll;ahnungsvoll;1;Sprache
1795;Blume des Jahres 2005 war der Große...?;Kleintopf;Friesentopf;Scheppertopf;Klappertopf;4;Pflanzen
8900;Was bedeutet in Sanskrit der Name des Gottes Ganesha?;Herr der Elefanten;Herr der Scharen;Her der Wälder;Herr der Menschen;2;Religion & Mythen
13932;Welcher dieser Filme erschien im Jahr 1968?;Der Flug des Phönix;Spiel mir das Lied vom Tod;Hatari!;Marnie;2;Film
4949;In welchem Land liegt die Stadt Lillehammer?;Dänemark;Finnland;Schweden;Norwegen;4;Geographie
17349;Wer malte das Gemälde "Triumph der Galatea"?;Guido Reni;Tizian;El Greco;Raffael;4;Kunst
2823;Die hier aufgezählten Vögel sind europäische Brutvögel. Welcher gehört nicht dazu?;Roter Ara;Alexandersittich;Mönchssittich;Halsbandsittich;1;Tiere
3406;Eine "Pizza Funghi" enthält in der Regel...?;Tomaten, Käse, Schinken, Ananas;Tomaten, Käse, Salami, Schinken;Tomaten, Käse, Sardellen, Oliven;Tomaten, Käse, Champignons;4;Sprache
16348;Wen spielt Michelle Pfeiffer in dem Film: "Wolf - Das Tier im Manne"?;Laura Randall;Charlotte Alden;Charlotte Randall;Laura Alden;4;Film
21546;Wie lautet der Musik-Titel von Marianne Rosenberg vollständig: "Er Gehört Zu ..."?;Mir;Seiner Frau;Ihr;Dir;1;Schlager
15170;Welches Buch druckte Gutenberg zwischen 1452 u. 1456 mit dem von ihm neu entwickelten Druckverfahren;den Katechismus;die "Göttliche Komödie" von Dante Alighieri;die Bibel;das Evangelium nach Matthäus;3;Geschichte
7095;Unter welchem Namen ist der Grunzochse besser bekannt?;Yak;Wisent;Büffel;Bison;1;Tiere
5435;In welcher Hardrockband war David Lee Roth der 1. Sänger?;Deep Purple;Van Halen;Def Leppard;KISS;2;Rock
16707;Wer etwas sucht, das nur Vorteile hat, wünscht sich redensartlich eine...?;eierlegende Wollmilchsau;eierlegende Fleischhonigbiene;milchgebende Fleischwollhenne;nektarsammelnde Eiermilchkuh;1;Sprache
14291;Welcher griechische Gott soll den ersten Weinstock gepflanzt haben?;Zeus;Amor;Dionysos;Eros;3;Mehr Wissen
15186;Welches Bundesland grenzt an Luxemburg?;Rheinland-Pfalz;Baden-Württemberg;Nordrhein-Westfalen;Hessen;1;Erdkunde
13548;Welcher "Outlaw" war mit 21 Jahren angeblich nach einigen Quellen schon 21-facher Mörder?;Schinderhannes;Klaus Störtebecker;Michael Kohlhaas;Billy the Kid;4;Geschichte
9612;Was ist der Hauptbestandteil der Sonne?;Wasserstoff;Helium;Uranium;Neon;1;Astronomie
10370;Was ist nicht Teil des SWIFT-Codes?;Ländercode;Bankcode;Kennzeichnung der Branche;Kennzeichnung der Filiale;3;Wirtschaft
5061;In welchem Mittelgebirge entspringt die Schlitz?;Taunus;Knüll;Rhön;Vogelsberg;4;Geographie
12771;Welche Schauspielerin verkörpert die Anna in "Keinohrhasen"?;Nora Tschirner;Brigitte Zeh;Barbara Rudnik;Alwara Höfels;1;Film
9764;Was ist die Tauber?;Ein Mittelgebirge;Ein Fluss;Eine Einkaufsstraße in Saarbrücken;Eine Landschaft in Sachsen-Anhalt;2;Erdkunde
4095;In Deutschland darf man wählen. Was bedeutet das?;Alle Einwohner in Deutschland müssen wählen;Nur verheiratete Personen dürfen wählen;Nur Personen mit festem Arbeitsplatz dürfen wählen;Deutsche Staatsangehörige dürfen ab 18 wählen;4;Bayern
12315;Welche Insel gehört nicht zu den Balearen?;Menorca;Formentera;Ibiza;Kreta;4;Geographie
10734;Was sind EHEC?;Escherichia (E) coli-Bakterien;Escherichia (E) carotin-Erreger;Escherichia (E) crebs-Zellen;Escherichia (E) cali-Keime;1;Medizin
8494;Wann wurde Peking zur Hauptstadt der Ming-Dynastie?;1271;1421;1567;1387;2;Geschichte
24827;Wozu benötigt der Computer einen Bus?;Statusleiste;Programmierung;Dekodierung;Datenübertragung innerhalb eines PC-Systems;4;Digital
20294;Wie heißt die Hauptstadt von Niger?;Harare;Dakar;Niamey;Belgrad;3;Geographie
5086;In welchem Ort liegt die Heini-Klopfer-Skiflugschanze?;Klingenthal;Oberwiesenthal;Oberstdorf;Garmisch-Partenkirchen;3;Wintersport
22840;Wie viele von 50 absolvierten Länderspielen verlor Garrincha mit der brasilianischen Nationalmannschaft lediglich?;vier;eines;drei;zwei;2;Fußball
8289;Wann wurde der US-Paketdienst UPS gegründet?;1917;1938;1889;1907;4;Wirtschaft
2255;Der deutsche Showmaster Thomas Gottschalk heißt mit vollem Namen ...?;Thomas Dominik Gottschalk;Thomas Maria Gottschalk;Thomas Joachim Gottschalk;Thomas Johannes Gottschalk;4;TV
24818;Wovon trennt man die Spreu?;vom Mais;vom Weizen;vom Mohn;vom Heu;2;Sprüche
12686;Welche Provokation leistete sich Lady Gaga bei ihrem Konzertauftritt im US-Bundesstaat New Jersey?;Striptease auf der Showbühne;Müllberge auf der Showbühne;Rauchen auf der Showbühne;Trinken auf der Showbühne;3;Stars
7577;Von wem stammt der Satz: "Alle Tage sind gleich lang, jedoch verschieden breit"?;Hape Kerkeling;Otto;Udo Lindenberg;Jürgen von der Lippe;3;Leute
4532;In welchem Jahr gab es die erste HDTV-Vorführung auf der IFA?;1974;2001;1990;1985;4;Digital
5506;In welcher Saison wurde Alberto Tomba Gesamtweltcupsieger im alpinen Skisport?;1993/94;1994/95;1992/93;1995/96;2;Wintersport
14436;Welcher Komponist hat eine eigene Variante des Schachspiels erfunden?;Paul Hindemith;Olivier Messiaen;Igor Stravinsky;Arnold Schönberg;4;Klassik
21386;Wie lange wirken Verhütungspflaster?;1 Tag;1 Monat;1 Woche;12 Stunden;3;Liebe & Sex
240;Spumante ist eine Sammelbezeichnung für Schaumweine aus...?;Frankreich;Portugal;Spanien;Italien;4;Ernährung
3166;Dieter Bohlen fand, Kandidaten Ines Redjeb aus der DSDS-Staffel 2010 sieht aus wie ...?;Beyoncé;Kelly Rowland;Lady Gaga;Britney Spears;1;TV
19499;Wie heißt das Hauptwerk des Judentums?;Talmud;Kabbala;Mischna;Thora;1;Religion & Mythen
5062;In welchem Mittelgebirge findet man den Buntsandstein-Höhenzug "Meulenwald"?;im Taunus;im Odenwald;im Spessart;in der Eifel;4;Geographie
20775;Wie hieß Ciminos Vietnamfilm mit Robert de Niro und Meryl Streep?;Good Morning, Vietnam;Die durch die Hölle gehn;Apokalypse Now;Platoon;2;Unterhaltung
674;67 - 34 = ?;33;35;29;38;1;Mathematik
11266;Was war Fridtjof Nansen nicht?;Friedensnobelpreisträger;Botaniker;Polarforscher;Politiker;2;Leute
14958;Welcher Tanz-Star spielte eine Hauptrolle in "Xanadu"?;Patrick Swayze;Gene Kelly;John Travolta;Fred Astaire;2;Film
5749;In welcher Stadt wurde Christoph Waltz geboren?;Salzburg;Wien;Berlin;München;2;Stars
23393;Wo findet alljährlich das Kinderfest "Kinderzeche" statt?;Dortmund;Dinkelsbühl;Bochum;Herne;2;Gesellschaft
2779;Die Freiheitsstatue war ein Geschenk Frankreichs an die USA. Zu welchem Anlass wurde die Gigantin verschenkt?;Zum Ende des ersten Weltkriegs;Zum Gedenken an die ersten Siedler aus Frankreich;Zum 300 Jubiläum der Entdeckung Amerikas;Zum 100 Jubiläum der Declaration of Independence;4;Reisen
18458;Wer war "Mister Pumpernickel"?;Wim Thoelke;Chris Howland;Ilja Richter;Hans Rosenthal;2;TV
23356;Wo fand die Schlacht statt, durch die die Normannen die Herrschaft in England errangen?;in Straßburg;in Middlesbrough;in Hastings;in Edinburgh;3;Geschichte
21750;Wie nannte man im 16. Jahrhundert die Calvinisten in Frankreich?;Hugenotten;Waldenser;Albigenser;Katharer;1;Religion & Mythen
13369;Welchen französischen König heiratete die in Wien geborene Marie Antoinette, spätere Königin von Frankreich?;Ludwig XIV;Heinrich IV;Ludwig XVI;Karl IX;3;Leute
24586;Woher kennt man die Comicfigur "Lurchi"?;Romika- Werbeträger;Werbefigur von Deichmann-Schuhe;Sympathieträger für die Schuhmarke Salamander;Elefanten-Schuh Maskottchen;3;Mehr Allgemeines
19390;Wie heißen die Thronfolge-Kriege im England des 15. Jahrhunderts?;Ritterkriege;Königskriege;Kaiserkriege;Rosenkriege;4;Geschichte
23461;Wo findet man die Volksgruppe der Wahhabiten?;Ägypten;Aserbaidschan;Iran;Afghanistan;1;Erdkunde
23294;Wo begann 1988 mit einem Banküberfall ein über zwei Tage dauerndes Geiseldrama, das zwei Todesopfer forderte?;Essen;Gladbeck;Bochum;Düsseldorf;2;Mehr Allgemeines
21390;Wie lauten die ersten Worte der Österreichischen Bundeshymne?;Land der Arbeiter;Land der Sänger und der Tänzer;Land der Äcker und der Felder;Land der Berge, Land am Strome;4;Mehr Allgemeines
18245;Wer spielte die weibliche Hauptrolle in Woody Allens: "Manhattan"?;Diane Keaton;Meryl Streep;Meg Ryan;Sandra Bullock;1;TV
16139;Welches Unternehmen gründete der Tischlermeister Ole Kirk Christiansen 1932?;Husqvarna;Velux;Ikea;Lego;4;Gesellschaft
17479;Wer oder was waren Ende des 14. Jahrhunderts die Bengler?;umherziehende Gruppe von Räubern und Mördern;Ritterbund des hessischen und westfälischen Adels;reisende Handwerker verschiedener Gewerke;ein kleiner christlicher Orden;2;Geschichte
1250;Auf welcher Kanarischen Insel befindet sich der 1501 Meter hohe Pico Malpaso?;La Gomera;Lanzarote;Fuerteventura;El Hierro;4;Erdkunde
19965;Wie heißt der Song-Titel richtig: Alles hat ein Ende nur...?; die Wurst hat zwei; ich find keins; das ist mir einerlei; du findest keins;1;Mehr Musik
20958;Wie hieß der Schokoriegel "Twix" in Deutschland früher?;Raider;Rider;Reider;Flix;1;Wirtschaft
8912;Was bedeutet Overclocking in der EDV-Sprache?;Abstellen des PC-Prozessors;Ãœbertakten des PC-Prozessors;Untersuchung des PC-Prozessors;Austauschen des PC-Prozessors;2;Digital
19422;Wie heißt "Rumänien" in der Landessprache?;Rumania;RomÃªnia;RomÃ¢nia;Roumanie;3;Sprache
791;Ab welcher Stadt ist die Donau schiffbar?;Ulm;Ingolstadt;Regensburg;Passau;3;Erdkunde
9074;Was einen redensartlich am Vorwärtskommen hindert, bezeichnet man als ...?;Stein im Brett;Floh im Ohr;Klotz am Bein;Haar in der Suppe;3;Sprüche
2912;Die Meeresenge"Palkstraße" befindet sich zwischen...?;Mosambique und Madagaskar;der Türkei und Griechenland;Spanien und Marokko;Indien und Sri Lanka;4;Geographie
24943;Zu welchem Land gehört Bouvet Island?;USA;Norwegen;Kanada;Schweden;2;Erdkunde
23310;Wo enstpringt die Saar?;Schwarzwald;Hunsrück;Vogesen;Taunus;3;Erdkunde
21078;Wie hieß ein Komikerduo aus der DDR?;Rolf Hoppe & Heinz Quermann;Lutz Stückrath & Herbert Köfer;Rolf Herricht & Hans-Joachim Preil;Alfred Müller & Heinz Schubert;3;TV
1545;Bad Hersfeld liegt im Bundesland...?;Saarland;Thüringen;Niedersachsen;Hessen;4;Geographie
344;11 x 22 = ?;231;222;242;262;3;Mathematik
10645;Was sagte Konfuzius? "Nur die Weisesten und die Dümmsten...;können sich nicht ändern";genießen das Leben";ändern die Welt";bleiben am Leben";1;Sprichwörter
